,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking,c_range,c_angle,id_new
38,5656670,1.0,12.1484375,17.9453125,0.0234375,0.796875,0.5390625,0.0,2.0,25.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.670689292545877,34.09682005124714,1008.0
39,5754439,1.0,12.03125,18.0,0.0390625,0.8125,0.546875,0.0,2.0,26.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.65065764734411,33.75887747630053,1008.0
40,5854207,1.0,12.0234375,17.984375,0.046875,0.7578125,0.5078125,0.0,2.0,27.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.633325991558284,33.764671363392495,1008.0
41,5954615,1.0,12.0625,17.9453125,0.046875,0.671875,0.453125,0.0,2.0,28.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.622630436019023,33.908248616034356,1008.0
42,6056927,1.0,12.046875,17.9375,0.0625,0.6328125,0.4296875,0.0,2.0,29.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.60743167328373,33.885419406723145,1008.0
43,6158376,1.0,12.0234375,17.9296875,0.0703125,0.6015625,0.40625,0.0,2.0,30.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.58788417525123,33.8453402610717,1008.0
44,6258955,1.0,12.0,17.9296875,0.078125,0.5703125,0.3828125,0.0,2.0,31.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.57483937014726,33.793645200758,1008.0
45,6355914,1.0,11.9765625,17.9296875,0.0859375,0.5390625,0.359375,0.0,2.0,32.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.561812149354758,33.74188763200074,1008.0
46,6457143,1.0,12.015625,17.890625,0.09375,0.4765625,0.3203125,0.0,2.0,33.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.551095262915293,33.88593007527148,1008.0
47,6555106,1.0,12.0390625,17.859375,0.09375,0.421875,0.28125,0.0,2.0,34.0,21.078125,0.0,-0.0042699999999999995,0.0,21.53825204768324,33.98403725579121,1008.0
