,Unnamed: 0,app_stamp,Obj_DistLat,Obj_DistLong,Obj_VrelLong,Obj_VrelLat,Obj_ID,Obj_DynProp,Obj_RCS,ideal_DisLat,ideal_DisLong,sub_ID,sub_ID_count
3,31,2296479.0,53.20000000000002,65.60000000000002,0.0,0.0,0.0,1.0,12.0,4.800000000000012,33.0,0_1,8
4,32,2366497.0,53.20000000000002,65.80000000000007,0.0,0.0,0.0,1.0,12.0,53.20000000000002,65.60000000000002,0_1,8
5,36,2656629.0,53.40000000000001,65.60000000000002,0.0,0.5,0.0,1.0,13.5,53.20000000000002,65.80000000000007,0_1,8
6,38,2801677.0,53.6,65.60000000000002,0.0,0.75,0.0,1.0,14.5,54.12524000000001,65.60000000000002,0_1,8
7,41,3021753.0,53.80000000000004,65.60000000000002,0.0,0.75,0.0,1.0,14.5,55.25057,65.60000000000002,0_1,8
8,45,3311850.0,54.00000000000003,65.60000000000002,0.0,0.75,0.0,1.0,14.5,55.97572750000004,65.60000000000002,0_1,8
9,48,3527027.0,54.20000000000002,65.60000000000002,0.0,0.75,0.0,1.0,14.5,55.61382750000003,65.60000000000002,0_1,8
10,52,3821948.0,54.40000000000001,65.60000000000002,0.0,0.75,0.0,1.0,14.5,56.41190750000002,65.60000000000002,0_1,8
11,54,3961994.0,2.4000000000000057,43.399999999999984,1.75,0.0,0.0,0.0,1.5,55.45034500000001,65.60000000000002,0_2,7
12,55,4037012.0,2.4000000000000057,43.600000000000016,1.75,0.25,0.0,0.0,3.5,2.4000000000000057,44.712814999999985,0_2,7
13,56,4107085.0,2.4000000000000057,43.80000000000007,0.75,0.25,0.0,0.0,7.0,2.5751825000000057,44.82627750000002,0_2,7
14,57,4182113.0,2.200000000000017,43.80000000000007,0.0,-0.5,0.0,0.0,8.5,2.5875700000000057,44.36271000000007,0_2,7
15,58,4252122.0,2.4000000000000057,44.0,0.0,0.0,0.0,1.0,9.0,1.849955000000017,43.80000000000007,0_2,7
16,59,4327150.0,2.200000000000017,44.0,0.0,-0.25,0.0,1.0,10.0,2.4000000000000057,44.0,0_2,7
17,65,4762269.0,2.0000000000000284,44.0,0.0,-0.5,0.0,1.0,12.0,1.1122025000000169,44.0,0_2,7
18,139,10119049.0,9.000000000000027,184.80000000000007,0.0,0.0,0.0,1.0,12.0,-24.783899999999974,44.0,0_3,5
19,142,10334116.0,9.200000000000015,184.80000000000007,0.0,0.75,0.0,1.0,12.5,9.000000000000027,184.80000000000007,0_3,5
20,143,10409155.0,9.400000000000006,184.80000000000007,0.0,0.75,0.0,1.0,12.5,9.762792500000016,184.80000000000007,0_3,5
21,147,10699231.0,9.600000000000025,184.80000000000007,0.0,0.75,0.0,1.0,12.5,11.575570000000006,184.80000000000007,0_3,5
22,151,10989327.0,9.800000000000011,184.80000000000007,0.0,0.75,0.0,1.0,12.5,11.775720000000025,184.80000000000007,0_3,5
24,155,11279322.0,-20.19999999999999,49.399999999999984,0.0,0.0,0.0,1.0,7.0,2.200000000000017,85.39999999999998,0_5,6
25,157,11424369.0,-20.19999999999999,49.200000000000045,0.0,0.25,0.0,1.0,6.5,-20.19999999999999,49.399999999999984,0_5,6
26,163,11859615.0,-20.399999999999977,49.200000000000045,0.0,-0.25,0.0,1.0,6.5,-19.111884999999987,49.200000000000045,0_5,6
27,216,15695829.0,-20.599999999999994,49.200000000000045,0.0,-0.25,0.0,1.0,6.0,-29.99053499999998,49.200000000000045,0_5,6
28,245,17791604.0,-20.799999999999983,49.0,0.0,-0.25,0.0,1.0,6.5,-25.839437499999995,49.200000000000045,0_5,6
29,258,18736851.0,-20.599999999999994,49.0,0.0,0.0,0.0,1.0,6.5,-23.163117499999984,49.0,0_5,6
30,277,20112298.0,-12.799999999999983,217.6,0.0,0.0,0.0,1.0,3.5,-20.599999999999994,49.0,0_6,9
31,278,20187317.0,-12.199999999999989,217.6,0.0,0.0,0.0,1.0,3.5,-12.799999999999983,217.6,0_6,9
