,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking
11489,29656491,39.0,4.0,52.5,0.0,-0.0859375,0.0,0.0,2.0,13.0,52.328125,0.0,-0.000488,0.0
11490,29755450,39.0,4.0078125,52.5,0.0,-0.0859375,0.0,0.0,3.0,13.0,0.0,0.0,-0.000488,0.0
11491,29856279,39.0,4.0234375,52.4921875,0.0,-0.0859375,0.0,0.0,3.0,13.0,0.0,0.0,-0.000488,0.0
11492,29957318,39.0,4.03125,52.4921875,0.0,-0.0859375,0.0,0.0,3.0,12.0,0.0,0.0,-0.000488,0.0
11493,30055476,39.0,4.0390625,52.4921875,0.0,-0.0859375,0.0,0.0,3.0,11.0,0.0,0.0,-0.000488,0.0
11494,31060252,39.0,10.234375,32.1796875,0.0,0.0,-44.6953125,1.0,1.0,0.0,33.7734375,-44.6953125,-0.002257,0.0
11495,31560164,39.0,2.140625,45.84375,0.0,0.0,2.953125,1.0,1.0,0.0,45.8984375,2.953125,-0.000305,0.0
11496,31655703,39.0,2.046875,45.5625,0.0,0.0,1.4296875,1.0,1.0,1.0,45.578125,1.390625,-0.000244,0.0
11497,31755862,39.0,2.0546875,45.703125,0.0,0.0,1.390625,1.0,1.0,2.0,45.78125,1.390625,-0.000244,0.0
11498,31856521,39.0,1.8515625,45.765625,0.0,0.03125,1.2734375,1.0,1.0,3.0,45.78125,1.265625,-0.000244,0.0
11499,31961379,39.0,1.8515625,45.8984375,0.0,0.03125,1.2109375,1.0,1.0,4.0,45.9765625,1.203125,-0.000244,0.0
11500,32061600,39.0,1.828125,46.015625,0.0,0.046875,1.15625,1.0,2.0,5.0,45.9765625,1.140625,-0.000244,0.0
11501,32157509,39.0,1.8203125,46.125,0.0,0.046875,1.15625,1.0,3.0,5.0,0.0,0.0,-0.000244,0.0
11502,32255878,39.0,1.8125,46.1796875,0.0078125,0.0546875,0.15625,0.0,4.0,6.0,50.9609375,0.0,-0.000244,0.0
11503,32357737,39.0,1.8125,46.1953125,0.0078125,0.0546875,0.15625,0.0,3.0,6.0,0.0,0.0,-0.000244,0.0
11504,32453636,39.0,1.78125,46.2265625,0.03125,0.078125,0.0234375,0.0,4.0,7.0,49.171875,0.0,-0.000183,0.0
