,app_stamp,Obj_DistLat,Obj_DistLong,Obj_VrelLong,Obj_VrelLat,Obj_ID,Obj_DynProp,Obj_RCS,gt_range,gt_angle,ideal_DisLat,ideal_DisLong,sub_ID,sub_ID_count
62,43434869,9.600000000000023,107.0,0.0,0.0,0.0,1.0,9.0,107.42979102651182,5.126828996982829,0.3,36.8,0_14,18
63,43504888,10.000000000000028,106.80000000000007,0.0,0.5,0.0,1.0,10.0,107.26714315203894,5.349177429529294,9.6,107.0,0_14,18
64,43574907,10.200000000000017,106.80000000000007,0.0,1.25,0.0,1.0,10.0,107.28597298808458,5.455521791920346,10.4,106.8,0_14,18
65,43649936,10.600000000000023,106.39999999999998,0.0,2.5,0.0,1.0,10.5,106.92670386764944,5.689265842927964,11.1,106.8,0_14,18
66,43719975,11.200000000000017,106.60000000000002,0.0,3.25,0.0,1.0,11.0,107.18675291284836,5.997814282763722,12.4,106.4,0_14,18
67,43794984,11.400000000000006,106.60000000000002,0.0,3.25,0.0,1.0,11.5,107.20783553453546,6.104116528440018,13.6,106.6,0_14,18
68,43865003,11.600000000000023,106.60000000000002,0.0,3.25,0.0,1.0,11.5,107.22928704416535,6.21037660766175,13.7,106.6,0_14,18
69,44010051,11.800000000000011,106.60000000000002,0.0,2.75,0.0,1.0,11.0,107.25110722039193,6.316593814990067,16.3,106.6,0_14,18
70,44080026,11.600000000000023,106.39999999999998,0.0,2.25,0.0,1.0,11.0,107.03046295331062,6.221958774002522,13.7,106.6,0_14,18
71,44155045,11.800000000000011,106.39999999999998,0.0,2.25,0.0,1.0,10.5,107.05232365530416,6.328370871410196,13.3,106.4,0_14,18
72,44225064,12.000000000000028,106.39999999999998,0.0,2.25,0.0,1.0,10.5,107.07455346626479,6.434739151036736,13.4,106.4,0_14,18
73,44295093,12.200000000000017,106.39999999999998,0.0,2.25,0.0,1.0,10.0,107.09715215634819,6.541062907201031,13.6,106.4,0_14,18
74,44370112,12.600000000000023,106.39999999999998,0.0,2.5,0.0,1.0,9.0,107.14345523642588,6.753574035531007,13.9,106.4,0_14,18
75,44440151,13.000000000000028,106.39999999999998,0.0,2.75,0.0,1.0,9.0,107.19123098462856,6.965898647768899,14.4,106.4,0_14,18
76,44515160,13.200000000000017,106.39999999999998,0.0,2.75,0.0,1.0,8.5,107.21567049643441,7.071989265927005,15.1,106.4,0_14,18
77,44585243,13.400000000000006,106.39999999999998,0.0,2.75,0.0,1.0,8.0,107.24047743273057,7.178031165614127,15.1,106.4,0_14,18
78,44655272,13.600000000000023,106.39999999999998,0.0,2.75,0.0,1.0,7.5,107.2656515385983,7.284023654416876,15.3,106.4,0_14,18
79,44730291,13.800000000000011,106.39999999999998,0.0,2.75,0.0,1.0,8.0,107.29119255558676,7.389966041919673,15.7,106.4,0_14,18
81,46530891,13.200000000000017,106.20000000000005,0.0,0.5,0.0,1.0,7.5,107.01719488007528,7.085172280558902,30.8,106.4,0_16,11
82,46605924,13.000000000000028,106.20000000000005,0.0,0.5,0.0,1.0,8.0,106.99271003203914,6.97888785177336,13.6,106.2,0_16,11
83,47110988,12.800000000000011,106.20000000000005,0.0,0.25,0.0,1.0,9.0,106.96859352165013,6.872555132425336,15.5,106.2,0_16,11
84,47256036,12.800000000000011,106.0,0.0,0.25,0.0,1.0,9.0,106.77003324903481,6.885397850172325,13.2,106.2,0_16,11
85,47326065,13.400000000000006,106.0,0.0,0.5,0.0,1.0,10.5,106.84362404935541,7.204833960857642,13.0,106.0,0_16,11
86,47401084,13.600000000000023,106.0,0.0,0.75,0.0,1.0,11.5,106.86889163830605,7.311213676989088,13.8,106.0,0_16,11
87,47471113,14.000000000000028,106.0,0.0,1.0,0.0,1.0,13.0,106.92053123698928,7.5238204386386425,14.1,106.0,0_16,11
88,47541262,14.200000000000017,106.0,0.0,1.0,0.0,1.0,13.5,106.94690271344936,7.63004609487752,14.7,106.0,0_16,11
89,47686230,14.400000000000006,106.0,0.0,1.0,0.0,1.0,14.5,106.97364161324975,7.736219012040253,15.6,106.0,0_16,11
90,47901297,14.600000000000023,106.0,0.0,1.0,0.0,1.0,15.0,107.00074766093927,7.842338500775508,16.6,106.0,0_16,11
91,48121295,14.800000000000011,106.0,0.0,1.0,0.0,1.0,15.5,107.02822057756543,7.948403873891749,16.8,106.0,0_16,11
92,48911623,14.800000000000011,106.20000000000005,0.0,0.5,0.0,1.0,16.0,107.22630274331019,7.933625906230041,22.7,106.0,0_17,56
93,49201760,15.000000000000028,106.20000000000005,0.0,0.5,0.0,1.0,16.0,107.25409083107277,8.03944455083666,16.3,106.2,0_17,56
94,50137041,15.000000000000028,106.39999999999998,0.0,0.25,0.0,1.0,16.0,107.45212887607204,8.024529834362385,19.7,106.2,0_17,56
95,50932464,15.000000000000028,106.60000000000002,0.0,0.0,0.0,1.0,16.0,107.65017417542809,8.009669994445057,17.0,106.4,0_17,56
96,51152371,14.800000000000011,106.60000000000002,0.0,0.0,0.0,1.0,16.0,107.62248835629107,7.904233171336458,15.0,106.6,0_17,56
97,51367438,14.800000000000011,106.39999999999998,0.0,0.0,0.0,1.0,16.5,107.42439201596626,7.918902438377227,14.8,106.6,0_17,56
98,53103037,14.800000000000011,106.80000000000007,0.0,0.0,0.0,1.0,15.0,107.82059172532868,7.8896178082798105,14.8,106.4,0_17,56
99,53248075,15.000000000000028,107.0,0.0,0.0,0.0,1.0,15.0,108.04628637764465,7.980113745168536,14.8,106.8,0_17,56
100,53318094,15.000000000000028,106.80000000000007,0.0,0.0,0.0,1.0,15.0,107.84822668917656,7.994864730763296,15.0,107.0,0_17,56
101,53678149,15.200000000000017,107.20000000000005,0.0,0.25,0.0,1.0,15.0,108.2722494455528,8.070232177918092,15.0,106.8,0_17,56
102,53823197,15.400000000000006,107.20000000000005,0.0,0.5,0.0,1.0,15.0,108.30050784737811,8.17499326650058,15.6,107.2,0_17,56
