,Unnamed: 0,Unnamed: 0.1,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking,new_id,sub_ID_count
1604,7509,8451,37363786,27.0,15.5234375,13.75,0.078125,-1.6640625,0.0,1.0,3.0,75.0,0.0,0.0,-0.005734,0.0,27.0_577,135
1605,7516,8458,41557509,27.0,3.453125,58.9765625,0.0,0.0,1.4765625,1.0,1.0,0.0,59.0859375,1.4765625,-0.000366,0.0,27.0_580,21
1606,7517,8459,41661798,27.0,3.3046875,60.90625,0.0078125,0.0078125,0.0390625,0.0,1.0,1.0,61.7265625,0.0,-0.000305,0.0,27.0_580,21
1607,7518,8460,41762207,27.0,4.1171875,61.6328125,0.171875,0.0,0.0,0.0,1.0,2.0,62.75,0.0,-0.00042699999999999997,0.0,27.0_580,21
1608,7519,8461,41863206,27.0,4.6953125,61.859375,0.234375,-0.046875,0.0,0.0,1.0,3.0,62.6640625,0.0,-0.000488,0.0,27.0_580,21
1609,7520,8462,42556563,27.0,4.6875,62.9375,0.7265625,0.015625,-0.140625,0.0,1.0,2.0,61.7265625,0.0,-0.000488,6.1e-05,27.0_580,21
1610,7525,8467,43061186,27.0,3.984375,62.3984375,0.640625,0.109375,0.0,0.0,2.0,7.0,61.7265625,0.0,-0.00042699999999999997,6.1e-05,27.0_580,21
1611,7527,8469,43257904,27.0,4.0234375,62.25,0.6171875,0.0859375,0.0,0.0,2.0,9.0,61.7265625,0.0,-0.00042699999999999997,6.1e-05,27.0_580,21
1612,7534,8476,43960781,27.0,3.703125,62.1953125,0.6171875,0.1640625,0.0078125,0.0,3.0,12.0,0.0,0.0,-0.000366,6.1e-05,27.0_580,21
1613,7536,8478,44158933,27.0,4.0546875,62.765625,0.6796875,-0.015625,1.15625,1.0,3.0,13.0,0.0,0.0,-0.00042699999999999997,6.1e-05,27.0_580,21
1614,7539,8481,45963401,27.0,3.8828125,63.5078125,0.9921875,0.0,16.4375,1.0,1.0,0.0,63.640625,16.4375,-0.000366,0.000122,27.0_582,5
1615,7540,8482,46058556,27.0,4.2578125,62.7578125,0.90625,-0.03125,23.71875,1.0,1.0,1.0,62.2578125,23.890625,-0.00042699999999999997,6.1e-05,27.0_582,5
1616,7541,8483,46158845,27.0,4.171875,64.8359375,0.8984375,0.0,17.9375,1.0,1.0,2.0,64.6171875,17.65625,-0.00042699999999999997,6.1e-05,27.0_582,5
1617,7543,8485,46359973,27.0,3.5390625,65.375,0.453125,0.078125,9.546875,1.0,1.0,4.0,62.015625,9.2421875,-0.000305,0.0,27.0_582,5
1618,7546,8488,47454516,27.0,11.953125,11.9765625,0.0,0.0,0.5078125,0.0,1.0,0.0,16.9296875,0.5078125,-0.005429,0.0,27.0_584,6
1619,7548,8490,47657566,27.0,12.0703125,12.2734375,0.3359375,-0.0390625,1.015625,0.0,1.0,2.0,17.578125,0.765625,-0.005368,0.000122,27.0_584,6
1620,7550,8492,47860364,27.0,12.4140625,11.9765625,0.0,-0.109375,1.125,0.0,1.0,4.0,17.171875,0.8984375,-0.0055509999999999995,0.0,27.0_584,6
1621,7551,8493,48361548,27.0,10.2890625,32.7578125,0.0,0.0,-29.28125,1.0,1.0,0.0,34.34375,-29.28125,-0.002257,0.0,27.0_584,6
1622,7552,8494,49358108,27.0,-7.0234375,36.84375,0.5859375,0.0,0.0,0.0,1.0,0.0,37.515625,0.0,0.001403,0.000122,27.0_585,9
1623,7560,8509,51361378,27.0,-7.0859375,36.84375,0.578125,0.0078125,0.0,0.0,3.0,1.0,0.0,0.0,0.001464,6.1e-05,27.0_585,9
1624,7561,8511,51955719,27.0,4.1015625,52.15625,0.8125,0.0,0.0,0.0,1.0,0.0,52.328125,0.0,-0.000549,0.000122,27.0_586,44
1625,7589,8551,55952617,27.0,4.4609375,52.109375,0.7734375,-0.1640625,-0.125,0.0,3.0,30.0,0.0,0.0,-0.000549,6.1e-05,27.0_586,44
1626,7591,8553,56152057,27.0,4.140625,52.0,0.796875,0.0078125,-0.296875,0.0,4.0,32.0,51.9609375,-0.3046875,-0.000549,6.1e-05,27.0_586,44
1627,7602,8564,57259204,27.0,4.078125,51.4453125,0.90625,0.046875,-0.5390625,0.0,3.0,33.0,0.0,0.0,-0.000549,0.000122,27.0_586,44
1628,7603,8565,58355683,27.0,3.75,33.390625,0.0,0.0,-30.7578125,1.0,1.0,0.0,33.609375,-30.7578125,-0.000793,0.0,27.0_586,44
1629,7604,8566,58853235,27.0,0.9609375,31.96875,0.0,0.0,21.8984375,1.0,1.0,0.0,31.984375,21.8984375,-0.000122,0.0,27.0_586,44
1630,7608,8570,56019,28.0,1.5234375,67.6171875,2.6953125,0.0,0.0,0.0,1.0,3.0,67.109375,0.0,-6.1e-05,0.000305,28.0_589,21
1631,7610,8572,261246,28.0,1.15625,67.484375,2.703125,0.0546875,0.0,0.0,2.0,5.0,67.3125,0.0,-6.1e-05,0.000305,28.0_589,21
1632,7623,8585,1556518,28.0,2.1328125,68.2578125,2.7421875,-0.1328125,0.1640625,0.0,3.0,0.0,0.0,0.0,-0.000183,0.000305,28.0_589,21
1633,7624,8586,3054676,28.0,4.1796875,16.6484375,0.265625,0.0,0.0,0.0,1.0,0.0,17.171875,0.0,-0.00183,0.000122,28.0_589,21
1634,7628,8590,3455448,28.0,3.8515625,17.625,1.0078125,0.03125,0.0,0.0,1.0,4.0,18.4765625,0.0,-0.001586,0.00042699999999999997,28.0_589,21
1635,7641,8603,11158838,28.0,2.2265625,44.5390625,0.0,0.0,12.0703125,1.0,1.0,0.0,44.6015625,12.0703125,-0.000305,0.0,28.0_599,24
1636,7642,8604,11663410,28.0,-0.453125,61.671875,0.9609375,0.0,26.4609375,1.0,1.0,0.0,61.6875,26.4609375,0.0,6.1e-05,28.0_599,24
1637,7643,8605,11757139,28.0,-0.1875,64.375,0.9296875,0.0,28.6484375,1.0,1.0,1.0,64.375,28.7109375,0.0,6.1e-05,28.0_599,24
1638,7644,8606,13256321,28.0,0.9296875,64.203125,0.0,0.0,0.0,0.0,1.0,0.0,64.2109375,0.0,0.0,0.0,28.0_599,24
1639,7646,8608,13453268,28.0,0.4765625,64.2421875,0.0,0.0,0.0,0.0,1.0,2.0,64.2109375,0.0,0.0,0.0,28.0_599,24
1640,7652,8614,14059141,28.0,1.515625,64.5625,0.046875,-0.40625,-0.2890625,0.0,2.0,8.0,67.3125,0.0,-0.000122,0.0,28.0_599,24
1641,7664,8626,15255923,28.0,2.21875,63.5546875,0.0859375,-0.4375,-0.015625,0.0,3.0,15.0,0.0,0.0,-0.000183,0.0,28.0_599,24
1642,7675,8637,23859732,28.0,-1.59375,64.2578125,1.0,0.0,0.0,0.0,1.0,0.0,64.2890625,0.0,0.000183,0.000122,28.0_604,36
1643,7677,8639,24054827,28.0,-0.046875,64.2734375,0.9921875,-0.0078125,0.0,0.0,1.0,2.0,64.2890625,0.0,0.0,6.1e-05,28.0_604,36
1644,7678,8640,24159246,28.0,0.65625,63.421875,1.078125,-0.0546875,-0.984375,1.0,1.0,3.0,62.7265625,-1.0703125,0.0,0.000122,28.0_604,36
1645,7682,8644,24556114,28.0,0.90625,62.6796875,1.1171875,-0.125,-1.15625,1.0,2.0,7.0,62.328125,-1.1328125,0.0,0.000122,28.0_604,36
1646,7683,8645,24658493,28.0,1.171875,62.3984375,1.1328125,-0.296875,-1.140625,1.0,2.0,8.0,62.125,-1.1328125,-6.1e-05,0.000122,28.0_604,36
1647,7685,8647,24857671,28.0,2.1484375,62.0234375,1.140625,-1.0703125,-1.0703125,1.0,2.0,10.0,61.9296875,-1.0078125,-0.000183,0.000122,28.0_604,36
1648,7689,8651,25257244,28.0,2.5703125,61.59375,1.15625,-1.0546875,-1.015625,0.0,3.0,12.0,0.0,0.0,-0.000244,0.000122,28.0_604,36
1649,7691,8653,25451421,28.0,2.75,61.296875,1.1640625,-1.0234375,-1.5859375,1.0,3.0,13.0,0.0,0.0,-0.000244,0.000122,28.0_604,36
1650,7692,8654,25556661,28.0,2.453125,61.171875,1.1640625,-0.65625,-1.3515625,1.0,4.0,14.0,61.328125,-1.3203125,-0.000244,0.000122,28.0_604,36
1651,7698,8660,26158493,28.0,2.875,60.515625,1.1796875,-0.671875,-0.984375,0.0,3.0,12.0,0.0,0.0,-0.000305,0.000122,28.0_604,36
1652,7699,8661,26257242,28.0,3.5078125,60.7265625,1.1875,-1.1171875,-0.0546875,0.0,4.0,13.0,62.09375,0.0,-0.000366,0.000122,28.0_604,36
1653,7703,8665,26657448,28.0,3.9609375,60.703125,1.1875,-1.1171875,-0.0546875,0.0,3.0,9.0,0.0,0.0,-0.00042699999999999997,0.000122,28.0_604,36
1654,7704,8666,26760497,28.0,3.828125,60.828125,1.1953125,-0.921875,-0.0390625,0.0,4.0,10.0,61.7265625,0.0,-0.00042699999999999997,0.000122,28.0_604,36
1655,7705,8667,26854995,28.0,3.8359375,61.296875,1.2265625,-0.84375,-0.0390625,0.0,4.0,11.0,61.7265625,0.0,-0.00042699999999999997,0.000122,28.0_604,36
1656,7707,8669,27057786,28.0,4.0078125,61.2890625,1.2265625,-0.84375,-0.0390625,0.0,3.0,9.0,0.0,0.0,-0.00042699999999999997,0.000122,28.0_604,36
1657,7710,8672,27360412,28.0,3.9453125,60.8671875,1.203125,-0.515625,-1.1640625,1.0,4.0,10.0,59.3359375,-1.1328125,-0.00042699999999999997,0.000122,28.0_604,36
1658,7722,8684,33961583,28.0,10.1171875,33.5,0.0,0.0625,-28.1796875,1.0,1.0,1.0,35.890625,-27.09375,-0.002196,0.0,28.0_610,8
1659,7723,8685,34057077,28.0,10.3125,31.4609375,0.5078125,-0.0859375,-23.875,1.0,1.0,2.0,34.1015625,-22.46875,-0.002318,6.1e-05,28.0_610,8
1660,7724,8686,34760743,28.0,5.8515625,50.96875,0.0078125,0.046875,-1.25,1.0,1.0,2.0,51.1640625,-1.2578125,-0.000793,0.0,28.0_610,8
1661,7725,8687,35064209,28.0,5.390625,51.25,0.453125,0.1015625,-0.1953125,0.0,2.0,5.0,52.4140625,0.0,-0.000732,6.1e-05,28.0_610,8
1662,7729,8691,35865034,28.0,4.8125,51.1484375,0.546875,0.375,-0.1328125,0.0,3.0,11.0,0.0,0.0,-0.0006709999999999999,6.1e-05,28.0_610,8
1663,7737,8700,40851793,28.0,4.8515625,32.515625,0.0,0.0,1.984375,1.0,1.0,0.0,32.8828125,1.984375,-0.001037,0.0,28.0_616,50
1664,7739,8702,41052754,28.0,5.34375,31.3203125,0.0,0.0234375,0.0,0.0,1.0,2.0,31.65625,0.0,-0.00122,0.0,28.0_616,50
1665,7750,8713,42158848,28.0,5.6953125,31.15625,0.0,-0.0625,0.0,0.0,2.0,13.0,31.65625,0.0,-0.001342,0.0,28.0_616,50
1666,7760,8723,43160185,28.0,5.1796875,31.234375,0.0,0.2578125,0.0390625,0.0,2.0,23.0,31.65625,0.0,-0.001159,0.0,28.0_616,50
1667,7768,8731,43955961,28.0,4.9609375,31.109375,0.0,0.25,0.0390625,0.0,3.0,25.0,0.0,0.0,-0.001159,0.0,28.0_616,50
1668,7779,8742,45159157,28.0,5.0625,31.6953125,0.15625,0.0703125,0.0078125,0.0,4.0,25.0,33.6953125,0.0,-0.001159,0.0,28.0_616,50
1669,7786,8749,45859343,28.0,5.3984375,31.5859375,0.09375,-0.1484375,-0.015625,0.0,3.0,24.0,0.0,0.0,-0.00122,0.0,28.0_616,50
1670,7787,8750,46359773,28.0,-12.890625,49.703125,0.0,0.0,0.0,0.0,1.0,0.0,51.3515625,0.0,0.001952,0.0,28.0_617,18
1671,7788,8751,46460782,28.0,-11.1484375,50.546875,0.0,0.0,0.0,0.0,1.0,1.0,51.3515625,0.0,0.0016469999999999998,0.0,28.0_617,18
1672,7789,8752,46557876,28.0,-10.8828125,50.453125,0.1015625,0.0,0.0,0.0,1.0,2.0,51.3515625,0.0,0.001586,0.0,28.0_617,18
1673,7792,8755,47162589,28.0,-8.859375,50.6875,0.140625,-0.46875,0.078125,0.0,2.0,8.0,51.3515625,0.0,0.001342,0.0,28.0_617,18
1674,7793,8756,47661386,28.0,-8.4375,50.4375,0.4453125,-0.5625,0.09375,0.0,3.0,11.0,0.0,0.0,0.001281,6.1e-05,28.0_617,18
1675,7800,8763,51061011,28.0,-4.1796875,51.15625,0.328125,-1.15625,0.109375,0.0,3.0,21.0,0.0,0.0,0.00061,0.0,28.0_617,18
1676,7801,8764,51552073,28.0,-3.1640625,110.1328125,0.0,0.0,0.0,0.0,1.0,0.0,110.1796875,0.0,0.000183,0.0,28.0_617,18
1677,7804,8767,51854720,28.0,-4.59375,110.0703125,0.0,0.0234375,0.0,0.0,1.0,3.0,110.1796875,0.0,0.000305,0.0,28.0_617,18
1678,7805,8768,55854828,28.0,3.8203125,62.203125,0.0,0.0,-0.1171875,0.0,1.0,0.0,62.328125,-0.1171875,-0.000366,0.0,28.0_618,6
1679,7808,8771,56152247,28.0,4.0390625,61.5625,0.0,0.0,-0.296875,0.0,1.0,3.0,61.53125,-0.3046875,-0.00042699999999999997,0.0,28.0_618,6
1680,7810,8773,56755428,28.0,1.1796875,56.3828125,0.0,0.0,-14.3125,1.0,1.0,0.0,56.3984375,-14.3125,-6.1e-05,0.0,28.0_618,6
1681,7811,8774,57260004,28.0,8.4609375,32.3515625,0.515625,0.0,2.0546875,1.0,1.0,0.0,33.453125,2.0546875,-0.001891,0.000122,28.0_619,13
1682,7813,8776,57455521,28.0,5.984375,30.3203125,0.0,0.09375,-0.875,0.0,1.0,2.0,29.8671875,-0.890625,-0.001403,0.0,28.0_619,13
1683,7814,8777,57554017,28.0,6.1484375,29.9375,0.0,0.0859375,-0.9453125,0.0,1.0,3.0,28.9765625,-0.953125,-0.001464,0.0,28.0_619,13
1684,7815,8778,57656026,28.0,6.046875,29.828125,0.0,0.09375,-1.0078125,1.0,1.0,4.0,29.625,-1.015625,-0.001464,0.0,28.0_619,13
1685,7816,8779,57863374,28.0,5.5078125,29.9453125,0.2890625,0.1796875,-1.1015625,1.0,2.0,6.0,31.8203125,-1.140625,-0.001342,6.1e-05,28.0_619,13
1686,7818,8781,58062336,28.0,5.4765625,29.375,0.0,0.1640625,-1.2421875,1.0,4.0,7.0,28.40625,-1.2734375,-0.001342,0.0,28.0_619,13
1687,7821,8784,58355283,28.0,4.3671875,30.3515625,0.9765625,0.8671875,-0.9296875,1.0,2.0,10.0,32.9609375,-1.3984375,-0.001037,0.000244,28.0_619,13
1688,7823,8786,58551008,28.0,4.1875,30.1640625,0.9765625,0.8671875,-0.9296875,1.0,3.0,10.0,0.0,0.0,-0.000976,0.000244,28.0_619,13
1689,7827,8790,259636,29.0,9.984375,32.2578125,0.0,0.0,52.0859375,1.0,1.0,0.0,33.7734375,52.0859375,-0.002196,0.0,29.0_622,5
1690,7828,8791,761533,29.0,12.140625,33.078125,0.0,0.0,52.7265625,1.0,1.0,0.0,35.2421875,52.7265625,-0.002623,0.0,29.0_622,5
1691,7829,8792,1261071,29.0,12.3515625,31.25,0.0,0.0,36.4140625,1.0,1.0,0.0,33.609375,36.4140625,-0.002806,0.0,29.0_622,5
1692,7830,8793,1358826,29.0,10.90625,33.515625,0.0,-0.0703125,38.796875,1.0,1.0,1.0,34.671875,36.9921875,-0.002318,0.0,29.0_622,5
1693,7831,8794,1466750,29.0,11.9609375,36.6796875,0.09375,-0.25,46.6875,1.0,1.0,2.0,38.4140625,44.890625,-0.002318,0.0,29.0_622,5
1694,7846,8809,8765631,29.0,-1.671875,51.4765625,0.8046875,0.0,33.65625,1.0,1.0,0.0,51.515625,33.65625,0.000244,0.000122,29.0_630,25
1695,7847,8810,9758370,29.0,-1.5625,62.703125,0.0,0.0,8.8984375,1.0,1.0,0.0,62.7265625,8.8984375,0.000183,0.0,29.0_630,25
1696,7848,8811,9858588,29.0,-2.703125,63.4375,0.0,0.0,8.921875,1.0,1.0,1.0,63.4765625,8.921875,0.000305,0.0,29.0_630,25
1697,7849,8812,9963767,29.0,-3.1484375,62.796875,0.109375,0.015625,8.90625,1.0,1.0,2.0,61.53125,8.8984375,0.000366,0.0,29.0_630,25
1698,7851,8814,10158146,29.0,-3.3828125,63.59375,0.1484375,0.0234375,8.4375,1.0,1.0,4.0,63.328125,8.9609375,0.000366,0.0,29.0_630,25
1699,7852,8815,10261545,29.0,-3.3671875,64.3125,0.1640625,0.0234375,8.8046875,1.0,2.0,5.0,63.125,8.8984375,0.000366,0.0,29.0_630,25
1700,7855,8818,10563548,29.0,-4.3828125,66.65625,0.1953125,0.453125,8.828125,1.0,2.0,8.0,66.7109375,8.828125,0.000488,0.0,29.0_630,25
1701,7858,8821,10855894,29.0,-4.640625,69.0859375,0.2265625,0.546875,8.8046875,1.0,2.0,11.0,68.5078125,8.828125,0.000488,0.0,29.0_630,25
1702,7862,8825,11457012,29.0,-4.9921875,74.3046875,0.2421875,0.5546875,8.75,1.0,3.0,14.0,0.0,0.0,0.000488,0.0,29.0_630,25
1703,7863,8826,11557971,29.0,-4.6953125,75.2109375,0.2421875,0.28125,8.765625,1.0,4.0,15.0,75.484375,8.765625,0.00042699999999999997,0.0,29.0_630,25
1704,7864,8827,11757749,29.0,-4.96875,76.859375,0.25,0.4375,8.6953125,1.0,3.0,16.0,0.0,0.0,0.000488,0.0,29.0_630,25
1705,7866,8829,12159971,29.0,-4.609375,80.3359375,0.2734375,0.0625,8.59375,1.0,3.0,19.0,0.0,0.0,0.00042699999999999997,0.0,29.0_630,25
1706,7868,8831,12355868,29.0,-4.59375,82.0078125,0.2734375,0.046875,8.5859375,1.0,4.0,20.0,81.46875,8.578125,0.00042699999999999997,0.0,29.0_630,25
1707,7869,8832,12457697,29.0,-4.9140625,82.765625,0.2890625,0.2890625,8.5703125,1.0,4.0,21.0,82.265625,8.578125,0.00042699999999999997,0.0,29.0_630,25
1708,7870,8833,13757305,29.0,-4.9765625,93.390625,0.390625,-0.0390625,7.765625,1.0,4.0,28.0,93.03125,7.75,0.000366,0.0,29.0_630,25
1709,7875,8838,23860142,29.0,6.4921875,35.625,0.0,0.0,-12.9609375,1.0,1.0,0.0,36.21875,-12.9609375,-0.001281,0.0,29.0_634,23
1710,7876,8839,23956331,29.0,4.6875,35.46875,0.0,0.046875,-15.1953125,1.0,1.0,1.0,35.8125,-15.1484375,-0.000915,0.0,29.0_634,23
1711,7878,8841,24154846,29.0,3.6015625,34.1953125,1.1953125,0.1015625,-15.390625,1.0,1.0,3.0,36.1328125,-15.3359375,-0.000732,0.000244,29.0_634,23
1712,7880,8843,24353593,29.0,4.015625,30.3671875,0.734375,0.0703125,-18.171875,1.0,2.0,5.0,30.5234375,-18.296875,-0.000915,0.000183,29.0_634,23
1713,7882,8845,24556914,29.0,4.0546875,27.2578125,1.1484375,0.125,-19.0546875,1.0,4.0,6.0,30.6796875,-19.0,-0.001037,0.000305,29.0_634,23
1714,7893,8856,25655540,29.0,3.9140625,6.2890625,1.1484375,0.125,-19.0546875,1.0,3.0,0.0,0.0,0.0,-0.003965,0.001159,29.0_634,23
1715,7894,8857,26154673,29.0,4.890625,60.828125,0.953125,0.0,47.078125,1.0,1.0,0.0,61.0390625,47.078125,-0.000549,0.000122,29.0_634,23
1716,7895,8858,27152755,29.0,3.8828125,21.125,0.0,0.0,14.0625,1.0,1.0,0.0,21.484375,14.0625,-0.001342,0.0,29.0_634,23
1717,7896,8859,27653296,29.0,4.5859375,20.234375,0.3203125,0.0,-17.265625,1.0,1.0,0.0,20.7578125,-17.265625,-0.0016469999999999998,0.000122,29.0_634,23
1718,7897,8860,28154727,29.0,3.9140625,19.7109375,0.0,0.0,-18.9375,1.0,1.0,0.0,20.1015625,-18.9375,-0.001403,0.0,29.0_634,23
1719,7898,8861,29658301,29.0,10.703125,32.7109375,0.53125,0.0,-13.09375,1.0,1.0,0.0,34.4296875,-13.09375,-0.002318,0.000122,29.0_635,19
1720,7899,8862,29857689,29.0,11.6875,31.0,0.1015625,-0.515625,-0.4375,0.0,1.0,2.0,29.953125,0.0,-0.002684,0.0,29.0_635,19
1721,7905,8868,30457532,29.0,10.4140625,28.7578125,0.0,-0.3359375,-0.1171875,0.0,2.0,8.0,29.953125,0.0,-0.002562,0.0,29.0_635,19
1722,7910,8873,30957290,29.0,10.4453125,28.375,0.0,-0.3046875,-0.109375,0.0,3.0,9.0,0.0,0.0,-0.002623,0.0,29.0_635,19
1723,7911,8874,31059242,29.0,10.2109375,28.9921875,0.3203125,-0.140625,2.609375,1.0,4.0,10.0,33.2890625,2.5625,-0.002501,6.1e-05,29.0_635,19
1724,7914,8877,31361478,29.0,10.2578125,29.78125,0.3203125,-0.140625,2.609375,1.0,3.0,7.0,0.0,0.0,-0.00244,6.1e-05,29.0_635,19
1725,7915,8878,31463496,29.0,10.0234375,30.515625,0.8125,0.1875,1.5703125,1.0,4.0,8.0,35.5625,1.40625,-0.002318,0.000183,29.0_635,19
1726,7916,8879,31963589,29.0,7.328125,33.2109375,0.0,0.0,3.3984375,1.0,1.0,0.0,34.015625,3.3984375,-0.001586,0.0,29.0_635,19
1727,7917,8880,33061150,29.0,13.5703125,37.8359375,0.0,0.0,0.0,0.0,1.0,0.0,40.203125,0.0,-0.002562,0.0,29.0_636,5
